tlsState_id;tlsState_phase;tlsState_programID;tlsState_state;tlsState_time
start;0;0;GG;206.00
start;0;0;GG;207.00
start;0;0;GG;208.00
start;0;0;GG;209.00
start;0;0;GG;210.00
start;0;0;GG;211.00
start;0;0;GG;212.00
start;0;0;GG;213.00
start;0;0;GG;214.00
start;0;0;GG;215.00
start;0;0;GG;216.00
start;0;0;GG;217.00
start;0;0;GG;218.00
start;0;0;GG;219.00
start;1;0;yy;220.00
start;1;0;yy;221.00
start;1;0;yy;222.00
start;1;0;yy;223.00
start;1;0;yy;224.00
start;2;0;rr;225.00
start;2;0;rr;226.00
start;2;0;rr;227.00
start;2;0;rr;228.00
start;2;0;rr;229.00
start;2;0;rr;230.00
start;2;0;rr;231.00
start;2;0;rr;232.00
start;2;0;rr;233.00
start;2;0;rr;234.00
start;2;0;rr;235.00
start;2;0;rr;236.00
start;2;0;rr;237.00
start;2;0;rr;238.00
start;2;0;rr;239.00
start;0;0;GG;240.00
start;0;0;GG;241.00
start;0;0;GG;242.00
start;0;0;GG;243.00
start;0;0;GG;244.00
start;0;0;GG;245.00
start;0;0;GG;246.00
start;0;0;GG;247.00
start;0;0;GG;248.00
start;0;0;GG;249.00
start;0;0;GG;250.00
start;0;0;GG;251.00
start;0;0;GG;252.00
start;0;0;GG;253.00
start;0;0;GG;254.00
start;0;0;GG;255.00
start;0;0;GG;256.00
start;0;0;GG;257.00
start;0;0;GG;258.00
start;0;0;GG;259.00
start;0;0;GG;260.00
start;0;0;GG;261.00
start;0;0;GG;262.00
start;0;0;GG;263.00
start;0;0;GG;264.00
start;0;0;GG;265.00
start;0;0;GG;266.00
start;0;0;GG;267.00
start;0;0;GG;268.00
start;0;0;GG;269.00
start;0;0;GG;270.00
start;0;0;GG;271.00
start;0;0;GG;272.00
start;0;0;GG;273.00
start;0;0;GG;274.00
start;0;0;GG;275.00
start;0;0;GG;276.00
start;0;0;GG;277.00
start;0;0;GG;278.00
start;0;0;GG;279.00
start;1;0;yy;280.00
start;1;0;yy;281.00
start;1;0;yy;282.00
start;1;0;yy;283.00
start;1;0;yy;284.00
start;2;0;rr;285.00
start;2;0;rr;286.00
start;2;0;rr;287.00
start;2;0;rr;288.00
start;2;0;rr;289.00
start;2;0;rr;290.00
start;2;0;rr;291.00
start;2;0;rr;292.00
start;2;0;rr;293.00
start;2;0;rr;294.00
start;2;0;rr;295.00
start;2;0;rr;296.00
start;2;0;rr;297.00
start;2;0;rr;298.00
start;2;0;rr;299.00
start;0;0;GG;300.00
start;0;0;GG;301.00
start;0;0;GG;302.00
start;0;0;GG;303.00
start;0;0;GG;304.00
start;0;0;GG;305.00
start;0;0;GG;306.00
start;0;0;GG;307.00
start;0;0;GG;308.00
start;0;0;GG;309.00
start;0;0;GG;310.00
start;0;0;GG;311.00
start;0;0;GG;312.00
start;0;0;GG;313.00
start;0;0;GG;314.00
start;0;0;GG;315.00
start;0;0;GG;316.00
start;0;0;GG;317.00
start;0;0;GG;318.00
start;0;0;GG;319.00
start;0;0;GG;320.00
start;0;0;GG;321.00
start;0;0;GG;322.00
start;0;0;GG;323.00
start;0;0;GG;324.00
start;0;0;GG;325.00
start;0;0;GG;326.00
start;0;0;GG;327.00
start;0;0;GG;328.00
start;0;0;GG;329.00
start;0;0;GG;330.00
start;0;0;GG;331.00
start;0;0;GG;332.00
start;0;0;GG;333.00
start;0;0;GG;334.00
start;0;0;GG;335.00
start;0;0;GG;336.00
start;0;0;GG;337.00
start;0;0;GG;338.00
start;0;0;GG;339.00
start;1;0;yy;340.00
start;1;0;yy;341.00
start;1;0;yy;342.00
start;1;0;yy;343.00
start;1;0;yy;344.00
start;2;0;rr;345.00
start;2;0;rr;346.00
start;2;0;rr;347.00
start;2;0;rr;348.00
start;2;0;rr;349.00
start;2;0;rr;350.00
start;2;0;rr;351.00
start;2;0;rr;352.00
start;2;0;rr;353.00
start;2;0;rr;354.00
start;2;0;rr;355.00
start;2;0;rr;356.00
start;2;0;rr;357.00
start;2;0;rr;358.00
start;2;0;rr;359.00
start;0;0;GG;360.00
start;0;0;GG;361.00
start;0;0;GG;362.00
start;0;0;GG;363.00
start;0;0;GG;364.00
start;0;0;GG;365.00
start;0;0;GG;366.00
start;0;0;GG;367.00
start;0;0;GG;368.00
start;0;0;GG;369.00
start;0;0;GG;370.00
start;0;0;GG;371.00
start;0;0;GG;372.00
start;0;0;GG;373.00
start;0;0;GG;374.00
start;0;0;GG;375.00
start;0;0;GG;376.00
start;0;0;GG;377.00
start;0;0;GG;378.00
start;0;0;GG;379.00
start;0;0;GG;380.00
start;0;0;GG;381.00
start;0;0;GG;382.00
start;0;0;GG;383.00
start;0;0;GG;384.00
start;0;0;GG;385.00
start;0;0;GG;386.00
start;0;0;GG;387.00
start;0;0;GG;388.00
start;0;0;GG;389.00
start;0;0;GG;390.00
start;0;0;GG;391.00
start;0;0;GG;392.00
start;0;0;GG;393.00
start;0;0;GG;394.00
start;0;0;GG;395.00
start;0;0;GG;396.00
start;0;0;GG;397.00
start;0;0;GG;398.00
start;0;0;GG;399.00
start;1;0;yy;400.00
start;1;0;yy;401.00
start;1;0;yy;402.00
start;1;0;yy;403.00
start;1;0;yy;404.00
start;2;0;rr;405.00
start;2;0;rr;406.00
start;2;0;rr;407.00
start;2;0;rr;408.00
start;2;0;rr;409.00
start;2;0;rr;410.00
start;2;0;rr;411.00
start;2;0;rr;412.00
start;2;0;rr;413.00
start;2;0;rr;414.00
start;2;0;rr;415.00
start;2;0;rr;416.00
start;2;0;rr;417.00
start;2;0;rr;418.00
start;2;0;rr;419.00
start;0;0;GG;420.00
start;0;0;GG;421.00
start;0;0;GG;422.00
start;0;0;GG;423.00
start;0;0;GG;424.00
start;0;0;GG;425.00
start;0;0;GG;426.00
start;0;0;GG;427.00
start;0;0;GG;428.00
start;0;0;GG;429.00
start;0;0;GG;430.00
start;0;0;GG;431.00
start;0;0;GG;432.00
start;0;0;GG;433.00
start;0;0;GG;434.00
start;0;0;GG;435.00
start;0;0;GG;436.00
start;0;0;GG;437.00
start;0;0;GG;438.00
start;0;0;GG;439.00
start;0;0;GG;440.00
start;0;0;GG;441.00
start;0;0;GG;442.00
start;0;0;GG;443.00
start;0;0;GG;444.00
start;0;0;GG;445.00
start;0;0;GG;446.00
start;0;0;GG;447.00
start;0;0;GG;448.00
start;0;0;GG;449.00
start;0;0;GG;450.00
start;0;0;GG;451.00
start;0;0;GG;452.00
start;0;0;GG;453.00
start;0;0;GG;454.00
start;0;0;GG;455.00
start;0;0;GG;456.00
start;0;0;GG;457.00
start;0;0;GG;458.00
start;0;0;GG;459.00
start;1;0;yy;460.00
start;1;0;yy;461.00
start;1;0;yy;462.00
start;1;0;yy;463.00
start;1;0;yy;464.00
start;2;0;rr;465.00
start;2;0;rr;466.00
start;2;0;rr;467.00
start;2;0;rr;468.00
start;2;0;rr;469.00
start;2;0;rr;470.00
start;2;0;rr;471.00
start;2;0;rr;472.00
start;2;0;rr;473.00
start;2;0;rr;474.00
start;2;0;rr;475.00
start;2;0;rr;476.00
start;2;0;rr;477.00
start;2;0;rr;478.00
start;2;0;rr;479.00
start;0;0;GG;480.00
start;0;0;GG;481.00
start;0;0;GG;482.00
start;0;0;GG;483.00
start;0;0;GG;484.00
start;0;0;GG;485.00
start;0;0;GG;486.00
start;0;0;GG;487.00
start;0;0;GG;488.00
start;0;0;GG;489.00
start;0;0;GG;490.00
start;0;0;GG;491.00
start;0;0;GG;492.00
start;0;0;GG;493.00
start;0;0;GG;494.00
start;0;0;GG;495.00
start;0;0;GG;496.00
start;0;0;GG;497.00
start;0;0;GG;498.00
start;0;0;GG;499.00
start;0;0;GG;500.00
start;0;0;GG;501.00
start;0;0;GG;502.00
start;0;0;GG;503.00
start;0;0;GG;504.00
start;0;0;GG;505.00
start;0;0;GG;506.00
start;0;0;GG;507.00
start;0;0;GG;508.00
start;0;0;GG;509.00
start;0;0;GG;510.00
start;0;0;GG;511.00
start;0;0;GG;512.00
start;0;0;GG;513.00
start;0;0;GG;514.00
start;0;0;GG;515.00
start;0;0;GG;516.00
start;0;0;GG;517.00
start;0;0;GG;518.00
start;0;0;GG;519.00
start;1;0;yy;520.00
start;1;0;yy;521.00
start;1;0;yy;522.00
start;1;0;yy;523.00
start;1;0;yy;524.00
start;2;0;rr;525.00
start;2;0;rr;526.00
start;2;0;rr;527.00
start;2;0;rr;528.00
start;2;0;rr;529.00
start;2;0;rr;530.00
start;2;0;rr;531.00
start;2;0;rr;532.00
start;2;0;rr;533.00
start;2;0;rr;534.00
start;2;0;rr;535.00
start;2;0;rr;536.00
start;2;0;rr;537.00
start;2;0;rr;538.00
start;2;0;rr;539.00
start;0;0;GG;540.00
start;0;0;GG;541.00
start;0;0;GG;542.00
start;0;0;GG;543.00
start;0;0;GG;544.00
start;0;0;GG;545.00
start;0;0;GG;546.00
start;0;0;GG;547.00
start;0;0;GG;548.00
start;0;0;GG;549.00
start;0;0;GG;550.00
start;0;0;GG;551.00
start;0;0;GG;552.00
start;0;0;GG;553.00
start;0;0;GG;554.00
start;0;0;GG;555.00
start;0;0;GG;556.00
start;0;0;GG;557.00
start;0;0;GG;558.00
start;0;0;GG;559.00
start;0;0;GG;560.00
start;0;0;GG;561.00
start;0;0;GG;562.00
start;0;0;GG;563.00
start;0;0;GG;564.00
start;0;0;GG;565.00
start;0;0;GG;566.00
start;0;0;GG;567.00
start;0;0;GG;568.00
start;0;0;GG;569.00
start;0;0;GG;570.00
start;0;0;GG;571.00
start;0;0;GG;572.00
start;0;0;GG;573.00
start;0;0;GG;574.00
start;0;0;GG;575.00
start;0;0;GG;576.00
start;0;0;GG;577.00
start;0;0;GG;578.00
start;0;0;GG;579.00
start;1;0;yy;580.00
start;1;0;yy;581.00
start;1;0;yy;582.00
start;1;0;yy;583.00
start;1;0;yy;584.00
start;2;0;rr;585.00
start;2;0;rr;586.00
start;2;0;rr;587.00
start;2;0;rr;588.00
start;2;0;rr;589.00
start;2;0;rr;590.00
start;2;0;rr;591.00
start;2;0;rr;592.00
start;2;0;rr;593.00
start;2;0;rr;594.00
start;2;0;rr;595.00
start;2;0;rr;596.00
start;2;0;rr;597.00
start;2;0;rr;598.00
start;2;0;rr;599.00
start;0;0;GG;600.00
start;0;0;GG;601.00
start;0;0;GG;602.00
start;0;0;GG;603.00
start;0;0;GG;604.00
start;0;0;GG;605.00
start;0;0;GG;606.00
start;0;0;GG;607.00
start;0;0;GG;608.00
start;0;0;GG;609.00
start;0;0;GG;610.00
start;0;0;GG;611.00
start;0;0;GG;612.00
start;0;0;GG;613.00
start;0;0;GG;614.00
start;0;0;GG;615.00
start;0;0;GG;616.00
start;0;0;GG;617.00
start;0;0;GG;618.00
start;0;0;GG;619.00
start;0;0;GG;620.00
start;0;0;GG;621.00
start;0;0;GG;622.00
start;0;0;GG;623.00
start;0;0;GG;624.00
start;0;0;GG;625.00
start;0;0;GG;626.00
start;0;0;GG;627.00
start;0;0;GG;628.00
start;0;0;GG;629.00
start;0;0;GG;630.00
start;0;0;GG;631.00
start;0;0;GG;632.00
start;0;0;GG;633.00
start;0;0;GG;634.00
start;0;0;GG;635.00
start;0;0;GG;636.00
start;0;0;GG;637.00
start;0;0;GG;638.00
start;0;0;GG;639.00
start;1;0;yy;640.00
start;1;0;yy;641.00
start;1;0;yy;642.00
start;1;0;yy;643.00
start;1;0;yy;644.00
start;2;0;rr;645.00
start;2;0;rr;646.00
start;2;0;rr;647.00
start;2;0;rr;648.00
start;2;0;rr;649.00
start;2;0;rr;650.00
start;2;0;rr;651.00
start;2;0;rr;652.00
start;2;0;rr;653.00
start;2;0;rr;654.00
start;2;0;rr;655.00
start;2;0;rr;656.00
start;2;0;rr;657.00
start;2;0;rr;658.00
start;2;0;rr;659.00
start;0;0;GG;660.00
start;0;0;GG;661.00
start;0;0;GG;662.00
start;0;0;GG;663.00
start;0;0;GG;664.00
start;0;0;GG;665.00
start;0;0;GG;666.00
start;0;0;GG;667.00
start;0;0;GG;668.00
start;0;0;GG;669.00
start;0;0;GG;670.00
start;0;0;GG;671.00
start;0;0;GG;672.00
start;0;0;GG;673.00
start;0;0;GG;674.00
start;0;0;GG;675.00
start;0;0;GG;676.00
start;0;0;GG;677.00
start;0;0;GG;678.00
start;0;0;GG;679.00
start;0;0;GG;680.00
start;0;0;GG;681.00
start;0;0;GG;682.00
start;0;0;GG;683.00
start;0;0;GG;684.00
start;0;0;GG;685.00
start;0;0;GG;686.00
start;0;0;GG;687.00
start;0;0;GG;688.00
start;0;0;GG;689.00
start;0;0;GG;690.00
start;0;0;GG;691.00
start;0;0;GG;692.00
start;0;0;GG;693.00
start;0;0;GG;694.00
start;0;0;GG;695.00
start;0;0;GG;696.00
start;0;0;GG;697.00
start;0;0;GG;698.00
start;0;0;GG;699.00
start;1;0;yy;700.00
start;1;0;yy;701.00
start;1;0;yy;702.00
start;1;0;yy;703.00
start;1;0;yy;704.00
start;2;0;rr;705.00
start;2;0;rr;706.00
start;2;0;rr;707.00
start;2;0;rr;708.00
start;2;0;rr;709.00
start;2;0;rr;710.00
start;2;0;rr;711.00
start;2;0;rr;712.00
start;2;0;rr;713.00
start;2;0;rr;714.00
start;2;0;rr;715.00
start;2;0;rr;716.00
start;2;0;rr;717.00
start;2;0;rr;718.00
start;2;0;rr;719.00
start;0;0;GG;720.00
start;0;0;GG;721.00
start;0;0;GG;722.00
start;0;0;GG;723.00
start;0;0;GG;724.00
start;0;0;GG;725.00
start;0;0;GG;726.00
start;0;0;GG;727.00
start;0;0;GG;728.00
start;0;0;GG;729.00
start;0;0;GG;730.00
start;0;0;GG;731.00
start;0;0;GG;732.00
start;0;0;GG;733.00
start;0;0;GG;734.00
start;0;0;GG;735.00
start;0;0;GG;736.00
start;0;0;GG;737.00
start;0;0;GG;738.00
start;0;0;GG;739.00
start;0;0;GG;740.00
start;0;0;GG;741.00
start;0;0;GG;742.00
start;0;0;GG;743.00
start;0;0;GG;744.00
start;0;0;GG;745.00
start;0;0;GG;746.00
start;0;0;GG;747.00
start;0;0;GG;748.00
start;0;0;GG;749.00
start;0;0;GG;750.00
start;0;0;GG;751.00
start;0;0;GG;752.00
start;0;0;GG;753.00
start;0;0;GG;754.00
start;0;0;GG;755.00
start;0;0;GG;756.00
start;0;0;GG;757.00
start;0;0;GG;758.00
start;0;0;GG;759.00
start;1;0;yy;760.00
start;1;0;yy;761.00
start;1;0;yy;762.00
start;1;0;yy;763.00
start;1;0;yy;764.00
start;2;0;rr;765.00
start;2;0;rr;766.00
start;2;0;rr;767.00
start;2;0;rr;768.00
start;2;0;rr;769.00
start;2;0;rr;770.00
start;2;0;rr;771.00
start;2;0;rr;772.00
start;2;0;rr;773.00
start;2;0;rr;774.00
start;2;0;rr;775.00
start;2;0;rr;776.00
start;2;0;rr;777.00
start;2;0;rr;778.00
start;2;0;rr;779.00
start;0;0;GG;780.00
start;0;0;GG;781.00
start;0;0;GG;782.00
start;0;0;GG;783.00
start;0;0;GG;784.00
start;0;0;GG;785.00
start;0;0;GG;786.00
start;0;0;GG;787.00
start;0;0;GG;788.00
start;0;0;GG;789.00
start;0;0;GG;790.00
start;0;0;GG;791.00
start;0;0;GG;792.00
start;0;0;GG;793.00
start;0;0;GG;794.00
start;0;0;GG;795.00
start;0;0;GG;796.00
start;0;0;GG;797.00
start;0;0;GG;798.00
start;0;0;GG;799.00
start;0;0;GG;800.00
start;0;0;GG;801.00
start;0;0;GG;802.00
start;0;0;GG;803.00
start;0;0;GG;804.00
start;0;0;GG;805.00
start;0;0;GG;806.00
start;0;0;GG;807.00
start;0;0;GG;808.00
start;0;0;GG;809.00
start;0;0;GG;810.00
start;0;0;GG;811.00
start;0;0;GG;812.00
start;0;0;GG;813.00
start;0;0;GG;814.00
start;0;0;GG;815.00
start;0;0;GG;816.00
start;0;0;GG;817.00
start;0;0;GG;818.00
start;0;0;GG;819.00
start;1;0;yy;820.00
start;1;0;yy;821.00
start;1;0;yy;822.00
start;1;0;yy;823.00
start;1;0;yy;824.00
start;2;0;rr;825.00
start;2;0;rr;826.00
start;2;0;rr;827.00
start;2;0;rr;828.00
start;2;0;rr;829.00
start;2;0;rr;830.00
start;2;0;rr;831.00
start;2;0;rr;832.00
start;2;0;rr;833.00
start;2;0;rr;834.00
start;2;0;rr;835.00
start;2;0;rr;836.00
start;2;0;rr;837.00
start;2;0;rr;838.00
start;2;0;rr;839.00
start;0;0;GG;840.00
start;0;0;GG;841.00
start;0;0;GG;842.00
start;0;0;GG;843.00
start;0;0;GG;844.00
start;0;0;GG;845.00
start;0;0;GG;846.00
start;0;0;GG;847.00
start;0;0;GG;848.00
start;0;0;GG;849.00
start;0;0;GG;850.00
start;0;0;GG;851.00
start;0;0;GG;852.00
start;0;0;GG;853.00
start;0;0;GG;854.00
start;0;0;GG;855.00
start;0;0;GG;856.00
start;0;0;GG;857.00
start;0;0;GG;858.00
start;0;0;GG;859.00
start;0;0;GG;860.00
start;0;0;GG;861.00
start;0;0;GG;862.00
start;0;0;GG;863.00
start;0;0;GG;864.00
start;0;0;GG;865.00
start;0;0;GG;866.00
start;0;0;GG;867.00
start;0;0;GG;868.00
start;0;0;GG;869.00
start;0;0;GG;870.00
start;0;0;GG;871.00
start;0;0;GG;872.00
start;0;0;GG;873.00
start;0;0;GG;874.00
start;0;0;GG;875.00
start;0;0;GG;876.00
start;0;0;GG;877.00
start;0;0;GG;878.00
start;0;0;GG;879.00
start;1;0;yy;880.00
start;1;0;yy;881.00
start;1;0;yy;882.00
start;1;0;yy;883.00
start;1;0;yy;884.00
start;2;0;rr;885.00
start;2;0;rr;886.00
start;2;0;rr;887.00
start;2;0;rr;888.00
start;2;0;rr;889.00
start;2;0;rr;890.00
start;2;0;rr;891.00
start;2;0;rr;892.00
start;2;0;rr;893.00
start;2;0;rr;894.00
start;2;0;rr;895.00
start;2;0;rr;896.00
start;2;0;rr;897.00
start;2;0;rr;898.00
start;2;0;rr;899.00
start;0;0;GG;900.00
start;0;0;GG;901.00
start;0;0;GG;902.00
start;0;0;GG;903.00
start;0;0;GG;904.00
start;0;0;GG;905.00
start;0;0;GG;906.00
start;0;0;GG;907.00
start;0;0;GG;908.00
start;0;0;GG;909.00
start;0;0;GG;910.00
start;0;0;GG;911.00
start;0;0;GG;912.00
start;0;0;GG;913.00
start;0;0;GG;914.00
start;0;0;GG;915.00
start;0;0;GG;916.00
start;0;0;GG;917.00
start;0;0;GG;918.00
start;0;0;GG;919.00
start;0;0;GG;920.00
start;0;0;GG;921.00
start;0;0;GG;922.00
start;0;0;GG;923.00
start;0;0;GG;924.00
start;0;0;GG;925.00
start;0;0;GG;926.00
start;0;0;GG;927.00
start;0;0;GG;928.00
start;0;0;GG;929.00
start;0;0;GG;930.00
start;0;0;GG;931.00
start;0;0;GG;932.00
start;0;0;GG;933.00
start;0;0;GG;934.00
start;0;0;GG;935.00
start;0;0;GG;936.00
start;0;0;GG;937.00
start;0;0;GG;938.00
start;0;0;GG;939.00
start;1;0;yy;940.00
start;1;0;yy;941.00
start;1;0;yy;942.00
start;1;0;yy;943.00
start;1;0;yy;944.00
start;2;0;rr;945.00
start;2;0;rr;946.00
start;2;0;rr;947.00
start;2;0;rr;948.00
start;2;0;rr;949.00
start;2;0;rr;950.00
start;2;0;rr;951.00
start;2;0;rr;952.00
start;2;0;rr;953.00
start;2;0;rr;954.00
start;2;0;rr;955.00
start;2;0;rr;956.00
start;2;0;rr;957.00
start;2;0;rr;958.00
start;2;0;rr;959.00
start;0;0;GG;960.00
start;0;0;GG;961.00
start;0;0;GG;962.00
start;0;0;GG;963.00
start;0;0;GG;964.00
start;0;0;GG;965.00
start;0;0;GG;966.00
start;0;0;GG;967.00
start;0;0;GG;968.00
start;0;0;GG;969.00
start;0;0;GG;970.00
start;0;0;GG;971.00
start;0;0;GG;972.00
start;0;0;GG;973.00
start;0;0;GG;974.00
start;0;0;GG;975.00
start;0;0;GG;976.00
start;0;0;GG;977.00
start;0;0;GG;978.00
start;0;0;GG;979.00
start;0;0;GG;980.00
start;0;0;GG;981.00
start;0;0;GG;982.00
start;0;0;GG;983.00
start;0;0;GG;984.00
start;0;0;GG;985.00
start;0;0;GG;986.00
start;0;0;GG;987.00
start;0;0;GG;988.00
start;0;0;GG;989.00
start;0;0;GG;990.00
start;0;0;GG;991.00
start;0;0;GG;992.00
start;0;0;GG;993.00
start;0;0;GG;994.00
start;0;0;GG;995.00
start;0;0;GG;996.00
start;0;0;GG;997.00
start;0;0;GG;998.00
start;0;0;GG;999.00
start;1;0;yy;1000.00
start;1;0;yy;1001.00
start;1;0;yy;1002.00
start;1;0;yy;1003.00
start;1;0;yy;1004.00
start;2;0;rr;1005.00
start;2;0;rr;1006.00
start;2;0;rr;1007.00
start;2;0;rr;1008.00
start;2;0;rr;1009.00
start;2;0;rr;1010.00
start;2;0;rr;1011.00
start;2;0;rr;1012.00
start;2;0;rr;1013.00
start;2;0;rr;1014.00
start;2;0;rr;1015.00
start;2;0;rr;1016.00
start;2;0;rr;1017.00
start;2;0;rr;1018.00
start;2;0;rr;1019.00
start;0;0;GG;1020.00
start;0;0;GG;1021.00
start;0;0;GG;1022.00
start;0;0;GG;1023.00
start;0;0;GG;1024.00
start;0;0;GG;1025.00
start;0;0;GG;1026.00
start;0;0;GG;1027.00
start;0;0;GG;1028.00
start;0;0;GG;1029.00
start;0;0;GG;1030.00
start;0;0;GG;1031.00
start;0;0;GG;1032.00
start;0;0;GG;1033.00
start;0;0;GG;1034.00
start;0;0;GG;1035.00
start;0;0;GG;1036.00
start;0;0;GG;1037.00
start;0;0;GG;1038.00
start;0;0;GG;1039.00
start;0;0;GG;1040.00
start;0;0;GG;1041.00
start;0;0;GG;1042.00
start;0;0;GG;1043.00
start;0;0;GG;1044.00
start;0;0;GG;1045.00
start;0;0;GG;1046.00
start;0;0;GG;1047.00
start;0;0;GG;1048.00
start;0;0;GG;1049.00
start;0;0;GG;1050.00
start;0;0;GG;1051.00
start;0;0;GG;1052.00
start;0;0;GG;1053.00
start;0;0;GG;1054.00
start;0;0;GG;1055.00
start;0;0;GG;1056.00
start;0;0;GG;1057.00
start;0;0;GG;1058.00
start;0;0;GG;1059.00
start;1;0;yy;1060.00
start;1;0;yy;1061.00
start;1;0;yy;1062.00
start;1;0;yy;1063.00
start;1;0;yy;1064.00
start;2;0;rr;1065.00
